CodigoOriginal;DescOriginal;SituacaoOriginal;UnOriginal;TipologiaOriginal;PrensadoOriginal;Dimensao;Nome Mae;Acabamento Superficie;Unidade Pai;Polo;Item Fundo;PrensadoFundo;SituacaoFundo;UnidadePaiFundo;PoloFundo;ClonesLista;PrensadoRevisado;Validado;UnidadePaiNorm;DimensaoNorm;AcabamentoNorm
1404172;SELAFACIL PESSEGO CX 12UN           P/ME;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL PESSEGO CX 12UN           P/ME;;ARGAMAS. MATRIZ;ARGAMASSA (SP);;;;;;[];Nao;True;ARGAMAS.MATRIZ;ADITIVO;
1402870;SELAFACIL PRETO CX 12UN;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL PRETO CX 12UN;;ARGAMAS. MATRIZ;ARGAMASSA (SP);;;;;;[];Nao;True;ARGAMAS.MATRIZ;ADITIVO;
1404180;SELAFACIL PRETO CX 12UN             P/ME;FP;CX;OUTRA;Nao;ADITIVO;SELAFACIL PRETO CX 12UN             P/ME;;ARGAMAS. MATRIZ;ARGAMASSA (SP);;;;;;[];Nao;True;ARGAMAS.MATRIZ;ADITIVO;
1402951;SELAFACIL SALMON CX 12UN;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL SALMON CX 12UN;;ARGAMAS. MATRIZ;ARGAMASSA (SP);;;;;;[];Nao;True;ARGAMAS.MATRIZ;ADITIVO;
1404199;SELAFACIL SALMON CX 12UN            P/ME;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL SALMON CX 12UN            P/ME;;ARGAMAS. MATRIZ;ARGAMASSA (SP);;;;;;[];Nao;True;ARGAMAS.MATRIZ;ADITIVO;
1402935;SELAFACIL VERDE CX 12UN;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL VERDE CX 12UN;;ARGAMAS. MATRIZ;ARGAMASSA (SP);;;;;;[];Nao;True;ARGAMAS.MATRIZ;ADITIVO;
1404202;SELAFACIL VERDE CX 12UN             P/ME;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL VERDE CX 12UN             P/ME;;ARGAMAS. MATRIZ;ARGAMASSA (SP);;;;;;[];Nao;True;ARGAMAS.MATRIZ;ADITIVO;
1404210;SELAFACIL BEGE SACHE 600ml-CX 20UN;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL BEGE SACHE 600ml-CX 20UN;;ARGAMAS. MATRIZ;ARGAMASSA (SP);;;;;;[];Nao;True;ARGAMAS.MATRIZ;ADITIVO;
1404229;SELAFACIL BRANCO SACHE 600ml-CX 20UN;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL BRANCO SACHE 600ml-CX 20UN;;ARGAMAS. MATRIZ;ARGAMASSA (SP);;;;;;[];Nao;True;ARGAMAS.MATRIZ;ADITIVO;
1404237;SELAFACIL CAFE SACHE 600ml-CX 20UN;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL CAFE SACHE 600ml-CX 20UN;;ARGAMAS. MATRIZ;ARGAMASSA (SP);;;;;;[];Nao;True;ARGAMAS.MATRIZ;ADITIVO;
1404245;SELAFACIL CINZA SACHE 600ml-CX 20UN;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL CINZA SACHE 600ml-CX 20UN;;ARGAMAS. MATRIZ;ARGAMASSA (SP);;;;;;[];Nao;True;ARGAMAS.MATRIZ;ADITIVO;
1404253;SELAFACIL MARFIM SACHE 600ml-CX 20UN;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL MARFIM SACHE 600ml-CX 20UN;;ARGAMAS. MATRIZ;ARGAMASSA (SP);;;;;;[];Nao;True;ARGAMAS.MATRIZ;ADITIVO;
